,prompt,sample,quality_score,bid_1,bid_2,bid_3,base_alignment,agent1_alignment,agent2_alignment,agent3_alignment,welfare,best_welfare,vcg_baseline
0,0,0,0.5078125,0.33,0.33,0.33,0.2119140625,0.19140625,0.171875,0.1708984375,0.17627929687500002,0.19625976562500003,0.16564453125
1,0,0,0.5078125,0.4,0.4,0.2,0.2236328125,0.2099609375,0.154296875,0.125,0.17070312499999998,0.19785156250000002,0.17226562500000003
2,0,0,0.5078125,0.6,0.3,0.1,0.228515625,0.2060546875,0.2021484375,0.12109375,0.19638671875,0.21621093749999998,0.19794921875
3,0,0,0.5078125,0.6,0.2,0.2,0.2392578125,0.234375,0.21484375,0.1865234375,0.2208984375,0.2208984375,0.1978515625
4,0,0,0.5078125,1.0,0.0,0.0,0.255859375,0.234375,0.1181640625,0.10986328125,0.234375,0.251953125,0.251953125
5,0,1,0.5078125,0.33,0.33,0.33,0.232421875,0.1923828125,0.1611328125,0.2021484375,0.183369140625,0.19625976562500003,0.16564453125
6,0,1,0.5078125,0.4,0.4,0.2,0.2431640625,0.1826171875,0.17578125,0.1357421875,0.17050781250000002,0.19785156250000002,0.17226562500000003
7,0,1,0.5078125,0.6,0.3,0.1,0.20703125,0.2177734375,0.1650390625,0.12890625,0.19306640624999996,0.21621093749999998,0.19794921875
8,0,1,0.5078125,0.6,0.2,0.2,0.2109375,0.2060546875,0.1611328125,0.1220703125,0.1802734375,0.2208984375,0.1978515625
9,0,1,0.5078125,1.0,0.0,0.0,0.2236328125,0.2294921875,0.10693359375,0.0927734375,0.2294921875,0.251953125,0.251953125
10,0,2,0.5078125,0.33,0.33,0.33,0.23046875,0.1904296875,0.1787109375,0.177734375,0.18046875,0.19625976562500003,0.16564453125
11,0,2,0.51171875,0.4,0.4,0.2,0.2451171875,0.2099609375,0.1748046875,0.1328125,0.18046875,0.19785156250000002,0.17226562500000003
12,0,2,0.5078125,0.6,0.3,0.1,0.240234375,0.1796875,0.1669921875,0.1376953125,0.17167968749999998,0.21621093749999998,0.19794921875
13,0,2,0.5078125,0.6,0.2,0.2,0.240234375,0.224609375,0.138671875,0.1689453125,0.1962890625,0.2208984375,0.1978515625
14,0,2,0.5078125,1.0,0.0,0.0,0.26171875,0.251953125,0.1171875,0.1162109375,0.251953125,0.251953125,0.251953125
