prompt_idx,b1,b2,externality_to_2,externality_to_1,vcg_payment_1,vcg_payment_2
0,0.0,1.0,0.0,0.17548828125,0.0,0.0
0,0.1,0.9,0.0044921874999999944,0.17158203125,0.004042968749999995,0.017158203125
0,0.2,0.8,0.006640624999999983,0.14658203124999997,0.005312499999999987,0.029316406249999996
0,0.3,0.7,0.0078125,0.07617187499999997,0.00546875,0.02285156249999999
0,0.4,0.6,0.0,0.05566406249999997,0.0,0.02226562499999999
0,0.5,0.5,0.0,0.04687499999999997,0.0,0.023437499999999986
0,0.6,0.4,0.0,0.028710937499999978,0.0,0.017226562499999987
0,0.7,0.3,0.0,0.06992187499999997,0.0,0.04894531249999998
0,0.8,0.2,0.10556640625,0.03847656249999998,0.02111328125,0.030781249999999982
0,0.9,0.1,0.12314453125,0.014453124999999983,0.012314453125,0.013007812499999985
0,1.0,0.0,0.12265625,0.0,0.0,0.0
1,0.0,1.0,0.0,0.2048828125,0.0,0.0
1,0.1,0.9,0.0,0.20717773437500003,0.0,0.020717773437500003
1,0.2,0.8,0.0,0.17280273437500002,0.0,0.03456054687500001
1,0.3,0.7,0.0,0.03632812500000002,0.0,0.010898437500000005
1,0.4,0.6,0.0,0.03964843750000002,0.0,0.01585937500000001
1,0.5,0.5,0.0023437500000000056,0.03378906250000002,0.0011718750000000028,0.01689453125000001
1,0.6,0.4,0.0,0.03125000000000003,0.0,0.018750000000000017
1,0.7,0.3,0.020410156250000006,0.03750000000000003,0.006123046875000001,0.026250000000000023
1,0.8,0.2,0.0185546875,0.015234375000000022,0.0037109375000000003,0.012187500000000018
1,0.9,0.1,0.065625,0.002734375000000011,0.006562500000000001,0.00246093750000001
1,1.0,0.0,0.051953125,0.0,0.0,0.0
2,0.0,1.0,0.0,0.17919921875,0.0,0.0
2,0.1,0.9,0.018164062500000022,0.185302734375,0.01634765625000002,0.0185302734375
2,0.2,0.8,0.0,0.13408203125,0.0,0.026816406250000004
2,0.3,0.7,0.0,0.08710937499999999,0.0,0.026132812499999995
2,0.4,0.6,0.03164062500000003,0.04218749999999999,0.01898437500000002,0.016874999999999998
2,0.5,0.5,0.014062500000000033,0.02363281249999999,0.007031250000000017,0.011816406249999994
2,0.6,0.4,0.014843750000000044,0.0263671875,0.005937500000000018,0.0158203125
2,0.7,0.3,0.09951171875000003,0.015625,0.029853515625000007,0.0109375
2,0.8,0.2,0.16416015625000002,0.012890624999999989,0.032832031250000004,0.010312499999999992
2,0.9,0.1,0.17988281250000002,0.0,0.01798828125,0.0
2,1.0,0.0,0.18134765625000002,0.0,0.0,0.0
3,0.0,1.0,0.0,0.16474609375000002,0.0,0.0
3,0.1,0.9,0.0013671875000000056,0.16923828125,0.001230468750000005,0.016923828125000002
3,0.2,0.8,0.0011718750000000167,0.1298828125,0.0009375000000000134,0.0259765625
3,0.3,0.7,0.03925781250000002,0.00019531250000001665,0.02748046875000001,5.859375000000499e-05
3,0.4,0.6,0.011132812500000006,0.004492187500000022,0.006679687500000003,0.001796875000000009
3,0.5,0.5,0.013085937500000006,0.005078125000000017,0.006542968750000003,0.0025390625000000083
3,0.6,0.4,0.021093750000000022,0.0,0.00843750000000001,0.0
3,0.7,0.3,0.06367187500000002,0.007031250000000017,0.019101562500000006,0.004921875000000011
3,0.8,0.2,0.08847656250000002,0.0,0.017695312500000004,0.0
3,0.9,0.1,0.06875,0.0,0.006875000000000001,0.0
3,1.0,0.0,0.09101562500000002,0.0,0.0,0.0
4,0.0,1.0,0.0,0.10380859375000001,0.0,0.0
4,0.1,0.9,0.014062500000000006,0.12207031250000001,0.012656250000000006,0.012207031250000002
4,0.2,0.8,0.0107421875,0.086328125,0.00859375,0.017265625000000003
4,0.3,0.7,0.0,0.05722656250000002,0.0,0.017167968750000005
4,0.4,0.6,0.026953124999999994,0.01953125,0.016171874999999995,0.0078125
4,0.5,0.5,0.010937499999999989,0.009765625,0.0054687499999999944,0.0048828125
4,0.6,0.4,0.0062500000000000056,0.0,0.0025000000000000022,0.0
4,0.7,0.3,0.03730468749999999,0.02324218750000001,0.011191406249999996,0.016269531250000007
4,0.8,0.2,0.12353515625,0.0007812500000000111,0.02470703125,0.0006250000000000089
4,0.9,0.1,0.14248046875,0.022851562500000006,0.014248046875000002,0.020566406250000006
4,1.0,0.0,0.15537109375,0.0,0.0,0.0
