,prompt,sample,quality_score,bid_1,bid_2,base_alignment,agent1_alignment,agent2_alignment,welfare,best_welfare,vcg_baseline
0,0,0,0.5078125,0.0,1.0,0.251953125,0.1357421875,0.146484375,0.146484375,0.1904296875,0.1904296875
1,0,0,0.51171875,0.1,0.9,0.2314453125,0.1396484375,0.154296875,0.15283203125000003,0.20410156250000003,0.18740234375
2,0,0,0.5078125,0.3,0.7,0.2373046875,0.1767578125,0.1591796875,0.16445312499999998,0.20810546874999997,0.18134765625
3,0,0,0.5078125,0.5,0.5,0.2216796875,0.197265625,0.1611328125,0.17919921875,0.20458984375,0.189208984375
4,0,0,0.51171875,0.7,0.3,0.240234375,0.216796875,0.1640625,0.20097656249999998,0.23535156249999997,0.215087890625
5,0,0,0.5078125,0.9,0.1,0.1943359375,0.255859375,0.138671875,0.244140625,0.244140625,0.240966796875
6,0,0,0.51171875,1.0,0.0,0.25,0.2138671875,0.11474609375,0.2138671875,0.25390625,0.25390625
7,0,1,0.51171875,0.0,1.0,0.234375,0.1435546875,0.162109375,0.162109375,0.1904296875,0.1904296875
8,0,1,0.51171875,0.1,0.9,0.248046875,0.150390625,0.1435546875,0.14423828125000002,0.20410156250000003,0.18740234375
9,0,1,0.51171875,0.3,0.7,0.234375,0.16796875,0.14453125,0.1515625,0.20810546874999997,0.18134765625
10,0,1,0.5078125,0.5,0.5,0.2236328125,0.19921875,0.150390625,0.1748046875,0.20458984375,0.189208984375
11,0,1,0.5078125,0.7,0.3,0.216796875,0.208984375,0.154296875,0.192578125,0.23535156249999997,0.215087890625
12,0,1,0.5078125,0.9,0.1,0.2578125,0.2236328125,0.1259765625,0.2138671875,0.244140625,0.240966796875
13,0,1,0.5078125,1.0,0.0,0.279296875,0.2041015625,0.123046875,0.2041015625,0.25390625,0.25390625
14,0,2,0.5078125,0.0,1.0,0.212890625,0.1650390625,0.1640625,0.1640625,0.1904296875,0.1904296875
15,0,2,0.50390625,0.1,0.9,0.2109375,0.134765625,0.15234375,0.15058593750000002,0.20410156250000003,0.18740234375
16,0,2,0.5078125,0.3,0.7,0.248046875,0.1943359375,0.15625,0.16767578125,0.20810546874999997,0.18134765625
17,0,2,0.50390625,0.5,0.5,0.205078125,0.1875,0.1875,0.1875,0.20458984375,0.189208984375
18,0,2,0.5078125,0.7,0.3,0.232421875,0.18359375,0.154296875,0.1748046875,0.23535156249999997,0.215087890625
19,0,2,0.5078125,0.9,0.1,0.220703125,0.2236328125,0.12109375,0.21337890625,0.244140625,0.240966796875
20,0,2,0.50390625,1.0,0.0,0.265625,0.2314453125,0.134765625,0.2314453125,0.25390625,0.25390625
21,0,3,0.51171875,0.0,1.0,0.25,0.1455078125,0.17578125,0.17578125,0.1904296875,0.1904296875
22,0,3,0.51171875,0.1,0.9,0.2470703125,0.158203125,0.18359375,0.1810546875,0.20410156250000003,0.18740234375
