method,prompt_idx,b1,b2,a1_mean,a1_std,a2_mean,a2_std,a1_wo,a2_wo,n_samples,welfare
numerical_baseline,0,0.0,0.0,0.1595703125,0.015263768718702693,0.12333984375,0.009415095735570665,0.1337890625,0.130859375,5,0.0
numerical_baseline,0,0.0,1.0,0.157421875,0.007639690318596854,0.1748046875,0.014566829970875292,0.1650390625,0.1845703125,5,0.1748046875
numerical_baseline,0,0.1,0.9,0.1564453125,0.029631873769899102,0.179296875,0.014641925635930713,0.1611328125,0.203125,5,0.17701171875000002
numerical_baseline,0,0.3,0.7,0.1591796875,0.013896727998786823,0.1970703125,0.022728954599744916,0.16796875,0.2158203125,5,0.185703125
numerical_baseline,0,0.5,0.5,0.16484375,0.015948195515027616,0.1767578125,0.031211829715814234,0.14453125,0.2255859375,5,0.17080078125
numerical_baseline,0,0.7,0.3,0.163671875,0.015169759805245042,0.1859375,0.01778845519384957,0.1826171875,0.2021484375,5,0.1703515625
numerical_baseline,0,0.9,0.1,0.17109375,0.008745552022358636,0.206640625,0.013293451426551275,0.1787109375,0.2109375,5,0.1746484375
numerical_baseline,0,1.0,0.0,0.203515625,0.01073330598752663,0.12353515625,0.00784295820518018,0.2177734375,0.123046875,5,0.203515625
numerical_baseline,1,0.0,0.0,0.08369140625,0.01313648992515546,0.077734375,0.01883019147114133,0.07470703125,0.0869140625,5,0.0
numerical_baseline,1,0.0,1.0,0.08349609375,0.00663236216172174,0.1818359375,0.08193135309622454,0.08251953125,0.271484375,5,0.1818359375
numerical_baseline,1,0.1,0.9,0.15390625,0.06538813395979534,0.2189453125,0.036470393048221965,0.259765625,0.2470703125,5,0.21244140625
numerical_baseline,1,0.3,0.7,0.1072265625,0.0236062649509422,0.2083984375,0.02236093567120564,0.0908203125,0.2294921875,5,0.178046875
numerical_baseline,1,0.5,0.5,0.16552734375,0.05712890625,0.2142578125,0.04999389611180049,0.1533203125,0.2734375,5,0.189892578125
numerical_baseline,1,0.7,0.3,0.17255859375,0.07839735242304653,0.18798828125,0.047330550062705604,0.259765625,0.22265625,5,0.1771875
numerical_baseline,1,0.9,0.1,0.14892578125,0.05305440363318625,0.208984375,0.048362033259431184,0.2314453125,0.130859375,5,0.154931640625
numerical_baseline,1,1.0,0.0,0.1572265625,0.039937705169294006,0.08515625,0.012523248034476032,0.189453125,0.07568359375,5,0.1572265625
numerical_baseline,2,0.0,0.0,0.11396484375,0.011883405421084289,0.162109375,0.01065303917444894,0.1328125,0.1455078125,5,0.0
numerical_baseline,2,0.0,1.0,0.0921875,0.0147958081675539,0.234765625,0.0389806270900056,0.07861328125,0.267578125,5,0.234765625
numerical_baseline,2,0.1,0.9,0.14921875,0.0414415317144804,0.2083984375,0.06843466835608844,0.150390625,0.279296875,5,0.20248046875
numerical_baseline,2,0.3,0.7,0.1509765625,0.04666523091060347,0.243359375,0.037278602627609146,0.1943359375,0.267578125,5,0.21564453124999997
numerical_baseline,2,0.5,0.5,0.1615234375,0.04433744318753849,0.2458984375,0.04783362227473344,0.2177734375,0.271484375,5,0.20371093750000002
numerical_baseline,2,0.7,0.3,0.14384765625,0.03613875056781209,0.2232421875,0.0628787959566421,0.1767578125,0.2578125,5,0.167666015625
numerical_baseline,2,0.9,0.1,0.15234375,0.04678463172284136,0.2248046875,0.061439675122832625,0.2138671875,0.25390625,5,0.15958984375000002
numerical_baseline,2,1.0,0.0,0.15390625,0.03727988172324086,0.1447265625,0.014719877876106851,0.2099609375,0.1298828125,5,0.15390625
numerical_baseline,3,0.0,0.0,0.14921875,0.009040458446119623,0.09296875,0.010673162469236873,0.158203125,0.080078125,5,0.0
numerical_baseline,3,0.0,1.0,0.1478515625,0.01368233416894014,0.17978515625,0.0738487255278313,0.162109375,0.2412109375,5,0.17978515625
numerical_baseline,3,0.1,0.9,0.1603515625,0.026559986668778717,0.14248046875,0.07169957521703815,0.1181640625,0.263671875,5,0.144267578125
numerical_baseline,3,0.3,0.7,0.1568359375,0.018407620286694872,0.2498046875,0.022937788044214903,0.1669921875,0.28515625,5,0.2219140625
