true_value,truthful_utility,optimal_utility,optimal_bid,relative_regret,prompt_idx,fixed_val,agent
0.1,0.013889160706666688,0.013889160706666688,0.1,0.0,2,0.3,Agent 1
0.2,0.032341307059922164,0.032341307059922164,0.2,0.0,2,0.3,Agent 1
0.3,0.053146985888267204,0.053454580158862564,0.4,0.005787614583487882,2,0.3,Agent 1
0.4,0.07542723640886256,0.07572511088826721,0.3,0.003949163373691427,2,0.3,Agent 1
0.5,0.09765867792471056,0.0983032358882672,0.3,0.006600109455235097,2,0.3,Agent 1
0.6,0.12020749238469888,0.1208813608882672,0.3,0.0056058777219288895,2,0.3,Agent 1
0.7,0.14268794933865767,0.14345948588826718,0.3,0.005407159842057424,2,0.3,Agent 1
0.8,0.16576415015334406,0.16643794614379462,1.0,0.004064787167956695,2,0.3,Agent 1
0.9,0.18937758744280597,0.1897191961437946,1.0,0.0018038496825385471,2,0.3,Agent 1
0.1,0.013291014822614784,0.013291014822614784,0.1,0.0,2,0.5,Agent 1
0.2,0.029719236576181415,0.029719236576181415,0.2,0.0,2,0.5,Agent 1
0.3,0.04916746177659923,0.04952875830768126,0.75,0.007348285187542162,2,0.5,Agent 1
0.4,0.06925048208478124,0.07089594580768127,0.75,0.023761043582130454,2,0.5,Agent 1
0.5,0.08989989091220695,0.09226313330768127,0.75,0.026287489022452547,2,0.5,Agent 1
0.6,0.11206785341436594,0.11363032080768126,0.75,0.013942155093648207,2,0.5,Agent 1
0.7,0.13449953035708223,0.13499750830768126,0.75,0.003702451222520608,2,0.5,Agent 1
0.8,0.15639399483786842,0.15785890535708227,0.7,0.009366795193974715,2,0.5,Agent 1
0.9,0.1786596043625974,0.18121828035708226,0.7,0.014321513828564862,2,0.5,Agent 1
0.1,0.012487792437903683,0.012585449218750001,0.05,0.007820179694042986,2,0.7,Agent 1
0.2,0.026274413039948107,0.0263525390625,0.15,0.002973464047821275,2,0.7,Agent 1
0.3,0.04254882196033308,0.04492186768068118,0.5,0.055772301347389135,2,0.7,Agent 1
0.4,0.06269531347851856,0.06371093018068119,0.5,0.01619924434241187,2,0.7,Agent 1
0.5,0.08249999268068119,0.08324218847851855,0.4,0.00899631349920307,2,0.7,Agent 1
0.6,0.10232908425739928,0.10378906347851855,0.4,0.01426749033976323,2,0.7,Agent 1
0.7,0.12287111630485277,0.12433593847851855,0.4,0.01192161524789474,2,0.7,Agent 1
0.8,0.1443700742158575,0.14488281347851856,0.4,0.0035515619524750853,2,0.7,Agent 1
0.9,0.16632800214699497,0.16641102087486945,0.95,0.0004991265860399386,2,0.7,Agent 1
0.1,0.012548829397074126,0.012548829397074126,0.1,0.0,3,0.3,Agent 1
0.2,0.033056638834311036,0.03358882989126513,0.6,0.01609936992147276,3,0.3,Agent 1
0.3,0.05600585144899968,0.05813961114126513,0.6,0.0380988706904761,3,0.3,Agent 1
